,PC1,PC2,PC3,PC4,PC5
Voltage_main,-0.39525735772115533,-0.17082959004113485,-0.45422089120602593,0.6541550771103531,-0.40315870857776687
Voltage_secondary,0.6836643016981645,-0.02623004763575118,0.05569512979057051,0.04475272820436399,-0.4646870494970502
Current_main,0.5008003142358528,0.2747403229489963,-0.14301240375697025,0.6124746873615892,0.4653411544454583
Current_secondary,-0.10661966270915646,0.2879494240011423,0.7316943023395456,0.3233501506792631,-0.4173812032656585
Temperature_main,0.11287503704897248,0.5738351278504733,-0.48265601868964986,-0.29882968363018186,-0.42520959776043876
Temperature_secondary,-0.3185361243989479,0.6945828719278405,0.04237336932285869,0.03314492400838788,0.22355388800000534
