,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6
Voltage_main,-0.6085481832471131,-0.3862229391470258,0.16849930890336343,-0.020596187163771193,-0.5259778499659561,-0.4183682961959042
Voltage_secondary,0.4341456917421388,-0.2716141669470371,-0.5587911766434158,0.29081755760094763,-0.029415968211148114,-0.5831428063228544
Current_main,-0.1912198416865416,-0.684506759590123,-0.2785166261974893,0.2605963009737564,0.1754612253724472,0.5644615872333265
Current_secondary,-0.5749248437602128,0.1949699019132274,-0.40318583733275926,-0.1899257654476974,0.6052988846457477,-0.257741742477316
Temperature_main,-0.20429606331583836,0.4708927591779792,-0.5678823588693691,0.19615999105386478,-0.5357181883586841,0.29759038110093305
Temperature_secondary,-0.17985033137221834,0.22080495548656917,0.31103006252670595,0.8789425320878397,0.19574126662125552,-0.10632361906478728
