,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6
Voltage_main,0.5180963710949236,-0.17701672647214897,-0.3399592106197994,-0.43168262401782725,-0.08252578614718603,-0.6257064572656975
Voltage_secondary,-0.6103658220881747,0.15790438850927185,0.15672494398861977,0.16295781278612648,-0.05273563143782069,-0.7406893840718378
Current_main,0.059173193371083246,-0.6416505214043646,-0.1631443795641483,0.6201709638748685,-0.413055796622425,-0.054221189838791546
Current_secondary,-0.04829719105153379,-0.39429592348065207,0.7194039105266793,-0.4460349945165086,-0.3528275819943402,0.03495140387276575
Temperature_main,0.3710477114699773,0.6121040519869448,0.19103367284821937,0.22362867578231857,-0.632057239114196,-0.04064754658477436
Temperature_secondary,0.4642404805923206,-0.0433041024362196,0.5284061769322876,0.39182373329606446,0.543883903550771,-0.23250140764244437
