Sample_ID,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
0,-0.015211759864263595,0.01309314680130002,-0.004824236475731624,-0.03159695850848098,0.009633748159931925,0.007313705019199782
1,0.011797642657776636,0.0007536784879398665,0.010982663650647024,-0.0006736294846660946,-0.0013656016091182172,-0.0030162949791952046
2,0.013059086304337867,-0.01876311337065941,-0.0002728554270514855,0.005135996672132065,-0.0012445281879262023,0.009009470291503884
3,-0.00019875866687322935,0.016283120098475493,-0.01297946001183237,0.004643466535212046,-0.010368646962829745,0.0016218094735579035
4,0.029581911817570073,-0.010242216894695436,-0.002280169730332034,-0.002979340296760566,-0.012837764320958987,-0.0100955398161314
5,0.015406953251470292,-0.0008538556562993796,0.011510332375111065,0.004282844866823953,-0.0034654377688646872,-0.0038995455645777412
6,0.006325941461902844,-0.006408418387816877,-0.018099228716608576,0.009320256445453213,0.005596469183783226,-0.008874860080196995
7,-0.0015013724233819152,0.0024519220898195594,0.013157803469549683,0.007163547462673718,-0.012172947059979114,0.029612455129908826
8,-0.0013470022553420957,0.007493364283230792,0.007614243867684958,0.007023701950736932,0.011348362656884183,-0.007221612936629784
9,-0.01274709219784685,0.01153549842391932,-0.0008601188025114183,-0.010822023876382909,0.017013804091519664,-0.0038420437629686686
10,-0.02019038345864928,0.02160918733155835,-0.0008693442302832269,-0.013292240082312478,0.008645366609689141,0.008675382569503967
11,-0.027728081233578596,-0.02560886279136791,0.014502288843187692,0.012988278193280174,-0.030519583176978296,-0.04299870689926634
12,-0.04901630865157007,-0.023863972058394765,-0.0045138385966227495,-0.0009558175182052096,-0.04693290264044389,-0.008087859078749737
13,-0.017446476786757974,0.00704887085724422,-0.001003881660889066,0.004746572755283233,0.016980629403970566,0.006952060858440694
14,0.01954020973518338,0.0010440756867598415,0.007786596947658519,0.007650660814275134,-0.014124322878302599,-0.00021919612880415626
15,0.018326165093483733,-0.0002850009673614104,0.009610014920399021,0.00964534577256132,-0.010848201116888737,-0.0008001278502548653
16,0.0178783751431406,0.00018435019560765256,-0.003760782013626069,-0.0009561158520051596,-0.009077746901884141,-0.007833413076143417
17,0.007353352614948255,0.004197704983941806,0.01083932091409019,0.01911703290340619,0.0043116826755874044,-0.0076039425918808835
