,Singular Vector 1,Singular Vector 2,Singular Vector 3,Singular Vector 4,Singular Vector 5,Singular Vector 6
Voltage_main,-0.3952573577211449,-0.1708295900411197,-0.45422089120607645,-0.6541550771103105,-0.4031587085777935,0.13347825708454905
Voltage_secondary,0.6836643016981706,-0.02623004763575068,0.05569512979057606,-0.04475272820435083,-0.4646870494970388,0.5575628207208534
Current_main,0.5008003142358521,0.27474032294899775,-0.14301240375700466,-0.6124746873615907,0.46534115444543933,-0.24818666341990017
Current_secondary,-0.10661966270915846,0.287949424001123,0.7316943023395333,-0.3233501506793003,-0.4173812032656664,-0.3026192919845816
Temperature_main,0.11287503704897638,0.57383512785049,-0.48265601868960856,0.2988296836302302,-0.4252095977604339,-0.393590215620976
Temperature_secondary,-0.31853612439894685,0.6945828719278379,0.04237336932287277,-0.03314492400840124,0.2235538880000135,0.6026764822208989
