,Singular_Value,Variance_Explained,Cumulative_Variance
Component_1,42.81809356534476,8.093718596903667,8.093718596903667
Component_2,42.32242559225166,7.907415274640998,16.001133871544667
Component_3,41.67804334682553,7.668458843456951,23.669592715001617
Component_4,41.40901080741514,7.569778280278229,31.239370995279845
Component_5,41.32867082419964,7.540433657491838,38.77980465277168
Component_6,40.87025629178064,7.374085508369396,46.15389016114108
Component_7,40.5647612821538,7.264258599144114,53.41814876028519
Component_8,40.150108697642324,7.116507277205078,60.53465603749027
Component_9,39.88869459285536,7.024138956039592,67.55879499352986
Component_10,39.202396489402425,6.784513025394277,74.34330801892413
Component_11,38.693706291313255,6.609583730171355,80.95289174909549
Component_12,38.19759068903462,6.441179297399896,87.39407104649538
Component_13,37.96827990429341,6.364075043664008,93.75814609015939
Component_14,37.60192478659963,6.241853909840614,100.0
