Column,Mean,Median,Std,Variance,Q1,Q2,Q3,Q4,Min,Max,Count,Most_Common_Values
Voltage_main,70.38899082568807,7.0,200.9839397139035,40394.544022922004,5.0,7.0,9.0,949.0,1,949,5995,"{6: np.int64(1175), 5: np.int64(1144), 8: np.int64(886), 7: np.int64(626), 9: np.int64(451), 3: np.int64(160), 4: np.int64(133), 2: np.int64(105), 1: np.int64(69), 11: np.int64(35)}"
Voltage_secondary,493.0281901584654,484.0,290.4008913846987,84332.67771702756,243.0,484.0,745.0,999.0,0,999,5995,"{734: np.int64(14), 126: np.int64(13), 212: np.int64(13), 319: np.int64(13), 621: np.int64(12), 309: np.int64(12), 399: np.int64(12), 127: np.int64(12), 220: np.int64(12), 651: np.int64(12)}"
Current_main,41.554628857381154,7.0,119.82135438563671,14357.156966808341,4.0,7.0,26.0,984.0,1,984,5995,"{5: np.int64(567), 2: np.int64(528), 3: np.int64(528), 4: np.int64(462), 6: np.int64(358), 7: np.int64(311), 1: np.int64(247), 23: np.int64(123), 22: np.int64(107), 24: np.int64(94)}"
Current_secondary,495.4518765638032,500.0,284.77901941850587,81099.08990096574,253.0,500.0,733.0,999.0,0,999,5995,"{839: np.int64(15), 550: np.int64(15), 704: np.int64(14), 612: np.int64(13), 406: np.int64(13), 504: np.int64(13), 546: np.int64(12), 124: np.int64(12), 41: np.int64(12), 619: np.int64(12)}"
Temperature_main,55.613177648040036,7.0,162.32535902319648,26349.522182009638,5.0,7.0,23.0,999.0,1,999,5995,"{5: np.int64(858), 4: np.int64(516), 6: np.int64(481), 9: np.int64(372), 7: np.int64(370), 8: np.int64(367), 3: np.int64(357), 2: np.int64(283), 1: np.int64(153), 17: np.int64(75)}"
Temperature_secondary,496.7137614678899,497.0,284.4293835207428,80900.0742099898,255.0,497.0,735.5,999.0,0,999,5995,"{528: np.int64(15), 509: np.int64(15), 694: np.int64(14), 471: np.int64(13), 301: np.int64(13), 936: np.int64(13), 562: np.int64(13), 63: np.int64(13), 602: np.int64(13), 749: np.int64(13)}"
