,Singular_Value,Variance_Explained,Cumulative_Variance
Component_1,42.56883680468207,8.437818340955747,8.437818340955747
Component_2,41.898008741429656,8.17397623624938,16.611794577205128
Component_3,41.410205732887356,7.984751065561826,24.596545642766955
Component_4,41.099737217254166,7.8654702892873365,32.46201593205429
Component_5,40.388507229306725,7.595602142911914,40.05761807496621
Component_6,39.59364094470126,7.299573492540161,47.35719156750637
Component_7,39.04016550519908,7.096919923045897,54.454111490552265
Component_8,38.95128911408432,7.064643898533173,61.51875538908544
Component_9,38.38898631057189,6.862145045414773,68.38090043450022
Component_10,37.73543138396522,6.6304841764478875,75.01138461094811
Component_11,37.4839803396975,6.54241377401206,81.55379838496017
Component_12,36.73697960348858,6.284250653693131,87.83804903865331
Component_13,36.60471740584309,6.239082400640869,94.07713143929418
Component_14,35.665042437899665,5.922868560705834,100.00000000000001
