Sample_ID,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14
0,-0.018362478568596814,-0.0065359635769794725,-0.010667120001100597,0.03093783254023502,0.03468592142061029,-0.003129200257960093,-0.002394955704455957,0.010876595804088784,0.032926355763288,0.017713242410044495,-0.019577027289338796,0.017752343985583806,-0.03403143623677929,-0.014070080626584356
1,-0.0030757087293132286,0.00892373502286793,-0.03374340704931301,0.005699473715571054,-0.009494778663785583,-0.05468940089819907,-0.03081928049943643,-0.055808570426875675,-0.04067326981711603,0.05232749689215448,0.0057950792531911285,-0.005812068692007878,-0.09308994522526115,0.03573828666003634
2,-0.02641158640893745,-0.04118837216174335,-0.010250796811801355,0.0004987628444978039,0.02511636316941465,-0.02144626016963805,0.02826623948834957,-0.008743495521765624,0.00766520307172345,-0.019677667142936908,-0.006175404618298775,-0.005922564635084068,-0.00409204342408864,-0.0240023270100144
3,-0.019211656960782968,-0.0008733890421624527,0.03995658453713994,-0.010359491163970318,0.016007439858638374,0.030663436839342688,0.027548546572609117,-0.008867443809206482,-0.04544419138365084,0.02110074775248161,-0.014634859534419889,0.0031755299014988776,0.0008125485016652941,0.007671873839417504
4,-0.010201682848211999,-0.005244231474040112,-0.004567609796702703,-0.02780068534097769,-0.02646231019222088,0.013177923577015303,0.037716512843865936,-0.001507784005911975,-0.008193059685238013,0.01551850680301027,0.0053415600119546104,0.026529550234042663,-0.027176891885920346,0.036028743318349495
5,0.013761252082214587,-0.0017513875684546723,-0.02224183730692126,0.03202138248924906,0.001219003656741586,0.013069795477067714,-0.03879132272293093,0.00735963250412765,0.011383086422328319,-0.011238484288827151,0.002606078076135934,-0.00509513509988872,0.01730488373440579,-0.022841455506003694
6,0.01603225486066081,-0.029303488223381705,0.027853450633622184,-0.020493391920713373,0.006956840586236902,0.033213096457653336,0.01250464063375477,-0.03569072326258283,0.006563080296147026,0.009097424669662048,0.033390831907966025,-0.026813183525178766,-0.02856184110984259,0.007673161318339869
7,0.022205643987828896,0.005440508806315827,-0.004517955281311684,-0.022317623150032915,-0.052580156807813375,0.033721561110573846,-0.0051759975848449475,-0.023034737207616007,-0.03269865156259301,-0.01220853921787327,0.02716839956626865,-0.0018827072172460217,0.026220769088248184,0.024731031214012034
8,0.026069826911723163,0.03568513043976309,0.007957359773875445,-0.026995777440516965,0.0051871579791048774,0.016401774938925966,-0.009202485062050418,0.011509807318301745,-0.02964702760924085,-0.0450918803706072,0.04267709131285914,0.012357533632254059,-0.012225946376659396,0.05799700645343284
9,-0.0024874389030397075,-0.006193043822196213,-0.03608774742664361,-0.009912894514364813,-0.021021853855343785,-0.0049673998798979374,0.013930301789354152,-0.02230462648341486,-0.014611535119948723,-0.03355473640158794,0.008735230920384118,-0.007893244187377586,0.01185638377773996,0.014145445486959743
10,0.04652785816245348,0.011805009067433899,0.054526222173910684,0.015606027848439924,-0.06103544371049131,0.026508168860341748,-0.010051089925667733,0.04315025159834846,-0.0038939016677567912,-0.013038275302735271,-0.02528903550668729,-0.09061551509121375,-0.029790038210826795,-0.013995151664320611
11,-0.024959327042221074,0.0013190827308976717,0.04932084565867834,0.07341630415318977,-0.0038222822433324755,-0.06969447538520936,0.04990457603106529,-0.052758707242549434,0.04117484180066921,-0.021335969106561655,0.022001500207871366,-0.029680438170045852,0.07903883638777588,0.08279592841615109
12,0.03727493077823542,0.008951503729399063,-0.006128427734168372,-0.007304397972419591,-0.029383147889499583,0.019903413613428893,0.016377140518653313,-0.008612604161268828,0.028459694203276997,0.007476725247476876,0.010624043727315213,0.020714420953963253,0.014170303404294458,-0.03241487987549331
13,0.12063197081795975,0.01580930050351883,-0.016418921500107,0.023627889737694436,-0.03231116622881721,-0.06890321427769898,-0.014552315523203413,-0.044067855632897404,-0.04801470463949318,0.061673394473577475,-0.04847412602112437,-0.040014507882316044,-0.02492571541502792,-0.04813345751983528
14,-0.019701952045232337,0.021153517945781745,-0.02528681018255188,-0.02179258194219589,0.0235877711298327,0.012136832494085483,0.0377360102866833,-0.01797150870873366,0.01568212509517715,-0.017317999711368447,-0.009046800056325601,-0.017777041946823433,-0.001827765294536495,0.026531629066449798
15,0.009237801343720148,-0.01521004894487182,-0.02191112795472772,-0.011837781881480844,-0.010903678174644854,0.008401243245988559,0.007531429975299974,-0.017769773181303936,-0.0006489052195254036,-0.02155649485957889,-0.015282734555303679,0.01832541817267693,0.016258083808609793,0.007056018010495894
16,-0.012909703191885577,-0.004678422446462005,-0.030524956003052453,0.01704635335262038,0.021529643358546475,-0.011913145465189543,-0.02386843749504395,0.017743216924131146,0.01513904182216675,-0.01730239783298497,-0.005304639401187583,-0.0057239178568076225,0.012951315045521139,-0.0039533393892691535
17,0.010939927960598441,0.038448926209623493,-0.006980435443080547,0.024460261470628283,-0.028161807771166322,0.028962828282858295,0.004731715996491988,0.013114923726460078,-0.010674988370805648,0.006164797972934692,0.0353901438593477,-0.01756137886802993,0.011866658942302951,-0.022498483675450164
18,-0.03562172753537288,-0.0288269329606347,0.04715886897244893,-0.03785050156389176,-0.008016272349931061,-0.04424797062925642,0.025596584176341617,0.023872996791118296,-0.0035911115587373157,0.007821966083317738,-0.007380850024566352,-0.0032295988771912547,0.0008069559089016174,-0.053542599819975646
19,-0.010057071813908778,0.00961114247501536,0.0005837068579528066,-0.009253313044768795,-0.01399283833564702,0.02432273360358789,0.01626343158143478,-0.008603096301966049,-0.0001877704381880733,0.010503282030280963,0.022197630991770047,-0.0029049037496532972,-0.011776615480471046,0.02837824452858439
20,-0.014423357496090033,-0.0401546563987319,-0.002106833782746019,0.012578968157143487,0.03148137343138333,0.007861221316119786,-0.0062134321129541925,-0.00905418607545785,-0.0026698533916957087,-0.006730028619265479,-0.01310815811370991,-0.007310809260956536,-0.012423470023859413,0.003920327335454211
21,-0.014910015637279677,-0.03204726132801279,-0.01633887362495472,0.018772166547304767,-0.011414538511491957,0.0030723412431259032,-0.005448145942829177,-0.003385833638146454,-0.0017446453621170665,0.0033509100707154555,0.009041863368063454,0.02101784937992941,-0.039711348773987847,0.01040381247732519
22,0.020583201543188847,-0.012490180805721899,0.0012956794119751754,-0.027586868756343152,0.01657496291471238,0.01887093279349048,0.023947813422521256,-0.04955487372012547,0.017213952148240043,-0.02454544379585301,-0.007365195859433081,-0.02862601342667366,-0.015896724165703886,0.016799032249580688
23,-0.048445462905683315,-0.016477613596584346,0.05571733804847954,-0.04258791162046749,-0.015133393480828377,-0.027276596471392193,-0.00695446427610111,-0.000622001279356993,-0.013732514121465176,-0.04119310078208514,-0.0247760326893769,-0.05820335553236816,-0.007255198188811053,-0.025768237767604323
24,-0.00041446698777159477,-0.03246397973342682,-0.012568659574600726,0.04363542195811341,0.010837979034883349,0.01140230397831371,-0.0460352775623033,-0.004013620412483486,-0.010767577648053831,-0.032428265611518924,0.01395251363192458,-0.01526536918334491,0.005031190458596469,-0.014516238677625408
25,0.030620890923775936,-0.03264395145228238,-0.006355405188933477,0.017413694745699836,-0.03924399870465567,0.02722825437779056,-0.05106830995772499,-0.006902059026941784,0.005071195859060059,0.011667608422289649,0.043313479986727285,-0.0015256158598981433,-0.017000032992842647,0.002945774993281769
26,0.03193173297044324,0.0048366424693604,0.04391132179995781,-0.026893958521332938,-0.03340272016483272,0.00341785408905431,0.009396068507166965,-0.030729461924949773,0.021883469247818206,0.028045323286856914,0.04043864043323217,-0.006711485962162703,0.04352436587339981,0.011926992637455903
27,0.01707305425031475,0.019812204579013278,0.05096594831789486,-0.05492577261574221,-0.05844822596628488,0.03444270941978111,-0.01571495736888498,-0.047836313407616175,0.032481199663800794,-0.05913598254694949,-0.0157610776775592,-0.07605296698647343,-0.03883652350862078,0.0031400165747249814
28,-0.005611918175582035,0.02405517937503021,0.00031988694629476024,0.023032702235651067,-0.006165395197348584,0.026623955831359167,-0.02173579670082297,0.015885203310780888,-0.024312262006815542,-0.003990238160276256,-0.0034789875534333202,0.005192325466419496,0.03616090988779607,-0.01884506691385326
29,-0.0005470602182332334,0.004700765965842374,-0.011932781331677246,0.00854525768651331,0.02311027977906346,0.002888168111201785,-0.0412903509580854,0.01545680377575376,0.03051965732621465,0.015139875961054209,-0.024910689640945605,0.028930905539284818,0.022530129705425662,-0.012748085424345851
30,0.0012006840748537192,0.0318007527226037,-0.04148565683375276,0.024119675687667198,0.013819778839870381,-0.05645572265206969,-0.027773069241802614,-0.03496576602606731,0.0386718660602218,0.032832631234599625,-0.0117807892999362,0.015189842322034946,-0.0361067541110131,0.01853503142761817
31,0.018178803533896323,0.035526309945172384,-0.049103855202236674,-0.01393426631754435,0.0030652265999408534,-0.11453239961173775,-0.06073005100820177,-0.055032429032572695,-0.037973484521105764,0.040635144289405185,0.018402571272499835,-0.0482017663463283,-0.015246930573919895,-0.030214868881235937
32,-0.019424703315577007,0.045608124213859014,-0.004158786314785293,0.011685555135975594,0.014661347032593622,0.02624711671315802,-0.008592003581804189,0.014362073945511103,0.0061750687379707615,0.024284457759164445,0.013222985875265289,-0.004892155003945305,-0.01187360804271098,0.016767270410309697
33,-0.013150682791789338,0.010568640483373373,-0.01863597646144811,0.013802943551289125,0.030595763685822133,0.008324598601557954,0.002817980488166778,0.012303149763600264,0.025307666657473544,0.0028548059357183025,-0.020948159832139157,0.00886208559648031,-0.006016672727322978,0.004922834480694571
