,Singular_Value,Variance_Explained,Cumulative_Variance
Component_1,42.81651605060798,8.128287872270864,8.128287872270864
Component_2,42.289131547113804,7.929283705813141,16.057571578084005
Component_3,41.891496511096186,7.780870266645312,23.838441844729317
Component_4,41.38293405781139,7.59309759347861,31.431539438207928
Component_5,41.14123578061515,7.504661175650296,38.936200613858226
Component_6,41.08380929174479,7.483725219120579,46.419925832978805
Component_7,40.23125327659878,7.17634894123366,53.59627477421247
Component_8,39.947129496659095,7.0753443070978586,60.671619081310325
Component_9,39.534964472865084,6.930094066997889,67.60171314830822
Component_10,39.20355356920686,6.814394841064431,74.41610798937265
Component_11,39.1733360547467,6.80389402171729,81.22000201108993
Component_12,37.83618618850917,6.347330785189021,87.56733279627895
Component_13,37.728633301660416,6.311296314672162,93.87862911095111
Component_14,37.15661435486403,6.121370889048895,100.0
