,PC1,PC2,PC3,PC4,PC5
main value [Voltage (V)],0.46822859351798857,-0.33475573485825283,-0.41982129120822176,-0.24550451615158567,0.5521601797920511
secondary value [Voltage (V)],0.4228549425597993,0.6161441619688723,0.29834516373571307,0.19938450083919362,-0.030395820028504772
main value [Current (A)],0.6686092191976885,-0.14011230963671595,0.32413316391315006,0.23541647865930782,0.08949325735728919
secondary value [Current (A)],0.004223852518917552,-0.575679649696813,0.014976520736098575,0.6746893303860547,-0.2789392743555122
main value [Temperature ],-0.3442749192525392,-0.17485765051815555,0.6649182488434261,0.031236529854601514,0.6269619337153344
secondary value [Temperature],0.1907205621120294,-0.35593714799059284,0.4328248663802217,-0.623194208586532,-0.4640019415458687
