,PC1,PC2,PC3,PC4,PC5
main value [Voltage (V)],-0.5180963710949352,0.17701672647213954,-0.33995921061981693,-0.4316826240178166,0.08252578614723023
secondary value [Voltage (V)],0.6103658220881706,-0.15790438850925897,0.15672494398861736,0.16295781278611932,0.052735631437868816
main value [Current (A)],-0.05917319337108715,0.6416505214043718,-0.16314437956413566,0.6201709638748708,0.41305579662241987
secondary value [Current (A)],0.04829719105153371,0.39429592348065845,0.7194039105266603,-0.44603499451653406,0.3528275819943377
main value [Temperature ],-0.37104771146997395,-0.6121040519869385,0.19103367284824146,0.22362867578232895,0.6320572391141966
secondary value [Temperature],-0.4642404805923159,0.04330410243622908,0.5284061769322987,0.3918237332960429,-0.5438839035507641
