,PC1,PC2,PC3,PC4,PC5
Voltage_main,-0.3952573577211513,-0.17082959004114132,-0.45422089120602366,0.6541550771103554,-0.4031587085777664
Voltage_secondary,0.683664301698166,-0.026230047635739828,0.05569512979057156,0.04475272820436438,-0.4646870494970497
Current_main,0.5008003142358469,0.27474032294900413,-0.1430124037569666,0.6124746873615895,0.46534115444546015
Current_secondary,-0.10661966270916312,0.2879494240011425,0.7316943023395472,0.32335015067926093,-0.41738120326565664
Temperature_main,0.11287503704896415,0.5738351278504749,-0.4826560186896501,-0.2988296836301783,-0.4252095977604393
Temperature_secondary,-0.3185361243989582,0.6945828719278341,0.04237336932285468,0.0331449240083853,0.2235538880000055
