Column,Mean,Median,Std,Variance,Q1,Q2,Q3,Q4,Min,Max,Count,Most_Common_Values
Voltage_main,53.90171631667734,7.0,163.46811199499166,26721.823639207134,5.0,7.0,9.0,850.0,1.0,850.0,5995,"{6.0: np.int64(1175), 5.0: np.int64(1144), 8.0: np.int64(886), 7.0: np.int64(626), 9.0: np.int64(451), 3.0: np.int64(160), 4.0: np.int64(133), 2.0: np.int64(105), 1.0: np.int64(69), 11.0: np.int64(35)}"
Voltage_secondary,493.0281901584654,484.0,290.4008913846987,84332.67771702756,243.0,484.0,745.0,999.0,0.0,999.0,5995,"{734.0: np.int64(14), 126.0: np.int64(13), 212.0: np.int64(13), 319.0: np.int64(13), 621.0: np.int64(12), 309.0: np.int64(12), 399.0: np.int64(12), 127.0: np.int64(12), 220.0: np.int64(12), 651.0: np.int64(12)}"
Current_main,15.26814383314596,7.0,18.868449493669566,356.0183862951593,4.0,7.0,23.0,250.0,1.0,250.0,5995,"{5.0: np.int64(567), 2.0: np.int64(528), 3.0: np.int64(528), 4.0: np.int64(462), 6.0: np.int64(358), 7.0: np.int64(311), 1.0: np.int64(247), 23.0: np.int64(123), 22.0: np.int64(107), 24.0: np.int64(94)}"
Current_secondary,495.4518765638032,500.0,284.77901941850587,81099.08990096574,253.0,500.0,733.0,999.0,0.0,999.0,5995,"{839.0: np.int64(15), 550.0: np.int64(15), 704.0: np.int64(14), 612.0: np.int64(13), 406.0: np.int64(13), 504.0: np.int64(13), 546.0: np.int64(12), 124.0: np.int64(12), 41.0: np.int64(12), 619.0: np.int64(12)}"
Temperature_main,13.764646704043127,7.0,18.236540726624135,332.57141767382075,5.0,7.0,16.808084533621393,248.0,0.957155198009049,248.0,5995,"{5.0: np.int64(858), 4.0: np.int64(516), 6.0: np.int64(481), 9.0: np.int64(372), 7.0: np.int64(370), 8.0: np.int64(367), 3.0: np.int64(357), 2.0: np.int64(283), 1.0: np.int64(153), 17.0: np.int64(75)}"
Temperature_secondary,496.7137614678899,497.0,284.4293835207428,80900.0742099898,255.0,497.0,735.5,999.0,0.0,999.0,5995,"{528.0: np.int64(15), 509.0: np.int64(15), 694.0: np.int64(14), 471.0: np.int64(13), 301.0: np.int64(13), 936.0: np.int64(13), 562.0: np.int64(13), 63.0: np.int64(13), 602.0: np.int64(13), 749.0: np.int64(13)}"
